Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,-38,60
B1,28/9/2019,Gent,Kortrijk,2,0,Gent,Gent,1,0.3,1.3,5.5,9,-1.75,Gent,0.45,1.9,1.95,,
B1,28/9/2019,Mouscron,Waregem,2,2,Draw,Mouscron,0,-1,2.15,3.5,2.9,-0.25,Waregem,0,1.8,2.05,,
B1,28/9/2019,St Truiden,Genk,3,3,Draw,Genk,0,-1,4.75,3.8,1.7,1,St Truiden,0,2,1.85,,
N1,28/9/2019,VVV Venlo,Heerenveen,0,3,Heerenveen,Heerenveen,1,1.05,3.3,3.6,2.05,0.25,Heerenveen,0.67,2.15,1.67,,
N1,28/9/2019,Ajax,Groningen,2,0,Ajax,Ajax,1,0.12,1.12,9,15,-2.5,Groningen,-1,1.96,1.94,,
N1,28/9/2019,For Sittard,Sparta Rotterdam,0,0,Draw,Sparta Rotterdam,0,-1,3.6,4,1.85,0.75,For Sittard,0,1.88,2.02,,
P1,28/9/2019,Maritimo,Moreirense,2,1,Maritimo,Moreirense,0,-1,2.4,3.2,3,-0.25,Maritimo,-0.5,2.14,1.77,,
P1,28/9/2019,Benfica,Setubal,1,0,Benfica,Benfica,1,0.12,1.12,8,21,-2,Setubal,-1,1.97,1.93,,
P1,28/9/2019,Famalicao,Belenenses,3,1,Famalicao,Famalicao,1,0.8,1.8,3.5,4.5,-0.75,Famalicao,0.86,1.86,2.04,,
T1,28/9/2019,Denizlispor,Kasimpasa,0,1,Kasimpasa,Draw,0,-1,1.95,3.5,3.8,-0.5,Kasimpasa,-1,1.8,2,,
T1,28/9/2019,Alanyaspor,Sivasspor,1,1,Draw,Alanyaspor,0,-1,1.75,3.6,4.75,-0.75,Sivasspor,0,2,1.85,,
